               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.021707,            0.024738,           0.0023265,             0.97914,             0.93417,             0.96327,             0.48978,             0.03599,            0.028452,           0.0030536,            0.006667,            0.006667,            0.006667
                 103,            0.022134,            0.024826,           0.0023531,             0.98432,             0.95528,             0.97694,             0.64096,            0.025247,            0.023103,           0.0026086,            0.006634,            0.006634,            0.006634
                 104,            0.022189,             0.02482,           0.0023624,              0.9808,              0.9679,             0.97948,             0.65091,            0.025963,            0.022563,           0.0025935,            0.006601,            0.006601,            0.006601
                 105,            0.021863,            0.025226,           0.0023084,             0.98358,             0.95591,             0.97775,             0.63657,            0.026608,            0.024037,           0.0028518,            0.006568,            0.006568,            0.006568
                 106,            0.021148,             0.02489,           0.0024859,             0.98778,              0.9514,             0.97506,               0.599,            0.028133,            0.024755,           0.0025176,            0.006535,            0.006535,            0.006535
                 107,            0.021094,            0.024637,             0.00248,             0.98643,             0.95584,             0.97723,             0.74675,            0.019095,            0.020321,           0.0024503,            0.006502,            0.006502,            0.006502
                 108,            0.020752,             0.02426,           0.0023717,             0.98166,             0.95809,             0.97739,             0.63576,            0.025793,            0.023396,           0.0025015,            0.006469,            0.006469,            0.006469
                 109,            0.021551,            0.025174,           0.0023091,             0.97042,             0.96547,             0.97833,             0.58505,            0.029338,            0.024721,           0.0023781,            0.006436,            0.006436,            0.006436
                 110,            0.021344,            0.025255,           0.0023801,             0.98741,              0.9648,             0.97737,              0.6911,            0.022778,            0.021247,            0.002207,            0.006403,            0.006403,            0.006403
                 111,            0.021438,            0.024345,           0.0022931,             0.98177,             0.94705,             0.97294,             0.57957,            0.029239,            0.025224,           0.0029134,             0.00637,             0.00637,             0.00637
                 112,            0.020751,            0.024262,            0.002274,             0.98466,             0.96635,             0.98287,             0.77113,             0.01748,            0.018707,           0.0024788,            0.006337,            0.006337,            0.006337
